road_number,road_name,hierarchy,route_num,distinct_names
10033,"Painted Desert Road",Sub-arterial,,1
10039,"Kempe Road",Sub-arterial,,3
11000,"Birdsville Track",Sub-arterial,B83,1
12000,"Strzelecki Track",Sub-arterial,,1
12003,"Gidgealpa Road",Sub-arterial,,1
12009,"Adventure Way",Sub-arterial,,1
12012,"Riecks Road",Sub-arterial,,1
13000,"Oodnadatta Track",Sub-arterial,,4
13009,"William Creek Road",Sub-arterial,,1
13011,"Borefield Road",Sub-arterial,,1
14024,"Tarcoola Road",Sub-arterial,,2
15021,"Mount Gunson Mine Access",Sub-arterial,,1
15024,"Mahanewo Road",Sub-arterial,,1
15027,"Yalymboo Road",Sub-arterial,,1
15030,"Pernatty Road",Sub-arterial,,1
15033,"South Gap Road",Sub-arterial,,1
15036,"Beda Homestead Access",Sub-arterial,,1
15037,"Kootaberra Road",Sub-arterial,,1
15039,"Hesso School Access",Sub-arterial,,1
15042,"Warrakimbo Road",Sub-arterial,,3
15045,"Yadlamulka Cattle Yard Access",Sub-arterial,,1
15051,"Wilkatana Road",Sub-arterial,,1
15052,"Narcoona Road",Sub-arterial,,1
15054,"Mullina Woolshed Access",Sub-arterial,,2
15057,"Yudnapinna Road",Sub-arterial,,1
15059,"Corraberra Workmens Residence Access",Sub-arterial,,1
15060,"Yorkeys Crossing",Sub-arterial,,1
15066,"Low Hill Outstation Access",Sub-arterial,,1
15069,"Radio Tower Road",Sub-arterial,,1
15070,"Flying Doctor Radio Road",Sub-arterial,,1
15072,"Carriewerloo Road",Sub-arterial,,1
15078,"Myall Creek Road",Sub-arterial,,1
15080,"Horse Paddock Road",Sub-arterial,,1
15081,"Corraberra Road",Sub-arterial,,1
15083,"Dynamite Drive",Sub-arterial,,1
15086,"Jim Shaw Drive",Sub-arterial,,1
16000,"Mount Hopeless Road",Sub-arterial,,1
16009,"Arkaroola Road",Sub-arterial,,1
16012,"Umberatana Road",Sub-arterial,,1
16021,"Gammon Ranges Road",Sub-arterial,,1
17000,"North Flinders Road",Sub-arterial,,1
17033,"Parachilna Gorge Road",Sub-arterial,,1
17042,"Flinders Ranges Way",Sub-arterial,B83,3
17057,"Wirrealpa Road",Sub-arterial,,1
